initial_sentence,follow_sentence,generated_sentence,Bleu_1,Bleu_2,Bleu_3,Bleu_4,METEOR,ROUGE_L,CIDEr,SkipThoughtCS,EmbeddingAverageCosineSimilairty,VectorExtremaCosineSimilarity,GreedyMatchingScore
"The urinary volume, sodium excretion and cyclic 3',5'-guanosine monophosphate (cyclic-GMP) excretion were increased to 3.5 (P less than 0.05), 2.5 (P less than 0.05) eight-fold (P less than 0.01), respectively, during the alpha-hANP infusion.",The dose and duration of the synthetic alpha-hANP in the present study was sufficient to induce these cardiovascular and renal effects.,the significance of the results of the present study is discussed.............................,0.18313196429812745,0.14877711110676464,0.09969472721145564,1.4946116183382351e-05,0.13934231024739663,0.29582929194956353,0,0.3804749846458435,0.753685,0.284021,0.650288
"In contrast to early regressing M-MSV tumors, whose development is independent of Fv-1 genotype, late MSV tumor progression is largely a function of this gene, since all late tumors which appeared in (B10BR x AKR) x AKR were observed in Fv-1n homozygous mice, H-2k halotype is a further factor in the occurrence of late MSV tumors, at least in (B6 x AKR) x AKR mice.","In crosses of AKR with Fv-1 compatible mice, tumor appearance was strongly associated with inheritance of AKR-Mulv, and MSV recovered from late tumors of first back-cross animals appeared to be a new pseudotype with the endogenous AKR-MuLV.",the ratio of the logarithm of the logarithm of the [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]. j. virol.,0.10810810810226446,1.732917482939133e-09,4.41058206720151e-12,2.2413114059937921e-13,0.017057569296375266,0.10810810810810813,0,0.44812411069869995,0.228935,0.10453,0.603479
"Pretreatment of VSMC with ANP yielded receptor desensitization to one half of the ANP receptor density, and supports the conclusion of receptor autoregulation by ANP in A10 VSMC.","The receptor coupled intracellular cGMP system was stimulated, and thus demonstrates the application of A10 cells as a model for the study of ANP receptor interaction involved in vascular smooth muscle relaxation.",the results of the results of the results of the results of the results of the results of the results of the results of the results of the results of the results of the results of the two groups.,0.10256410256147275,1.642880193591135e-09,4.178335940166352e-12,2.121665383933931e-13,0.03221476510067114,0.11471556182416551,0,0.6993783712387085,0.709624,0.269,0.578573
The discriminant function of HOME Inventory subscale scores correctly predicted 71 percent of all children who scored below 70 IQ.,Results attest to the usefulness of the HOME Inventory in a comprehensive program of screening for developmental delay.,the results of the the results of the the results of the results of the results of the results of the results of the results of the results of the results of the results of the results are discussed.,0.10256410256147275,0.051952433345263505,4.178335940166351e-07,1.1931001236118979e-09,0.07832464531445736,0.1503388786198398,0,0.739145040512085,0.823332,0.311373,0.603118
The expression in E. coli of a polymeric gene coding for an esterase mimic catalyzing the hydrolysis of p-nitrophenyl esters.,"We have prepared a hybrid protein consisting of seven esterase units, Glu-Ala-His-Ala-Ser-Phe-Phe-Phe, fused to the N-terminal of galactokinase (E. coli).","the immunogenicity of the anti - rabbit antibody, and the anti - rabbit antibody was studied in the absence of the presence of the presence of the presence of the presence of the presence of the soluble antigen.",0.0789473684189751,1.4607233344869356e-09,3.898921378397572e-12,2.0285762996808684e-13,0.027453671928620457,0.10958083832335329,0,0.7046566009521484,0.774663,0.240009,0.605619
A temporal and drug dose dependence of this effect was demonstrated.,The changes in spleen cell population occurring in the donor mice consequent to drug treatment were evident in the nylon woll-adherent fraction of the spleen cells.,the results of the the results of the results of the the the v. v. v. v. v. v. v. v. v. v. v. v. v..,0.15384615383431954,0.07844645404917897,6.35299427967209e-07,1.8272664873906376e-09,0.034453395321421006,0.15384615384615383,0,0.17227095365524292,0.393831,0.201613,0.507833
Not all helper T-cell clones specific to EBV-transformed B-LCL were restricted to self: one clone restricted by allo-HLA antigen was established.,"This finding suggests that in humans, as in mice, some T cells in the T-cell repertoire can be allo-restricted.","the significance of the logarithm of the logarithm of the variance of the first order, and the significance of the logarithm of the logarithm of the variance of the second order were discussed in the order of order.",0.05263157894598341,0.037715714319229814,3.406021549710841e-07,1.0307860499981594e-09,0.04149502638143395,0.07466340269277845,0,0.7062436938285828,0.734831,0.202659,0.615912
"R. trifolii 24XSM, T26 and 14M were also found to harbor an endogenous plasmid (molecular weight 5.5 megadaltons) with undetermined as yet properties.",Ridrd19 could be stably maintained in the same cell together with the endogenous plasmid.,the results of the results of the results of the results of the results of the results of the results of the results of the results of the results of the results of the results of the two groups.,0.05128205128073639,1.1616917255653596e-09,3.3163474334483016e-12,1.7841008157179387e-13,0.03310344827586207,0.08248816768086545,0,0.6629101037979126,0.705477,0.205894,0.578073
"It has been shown that nerves do, in fact, have a longitudinal excursion.",This excursion is accentuated during adjacent joint motion.,"the number of the logarithm of the logarithm of, the logarithm of the the logarithm of the the logarithm of the the logarithm of the the logarithm of the logarithm of the logarithm of the logarithm of,.",2.702702702629657e-17,2.739983121680873e-17,2.77849259445311e-17,2.8182998883024264e-17,0.0147329650092081,0,0,0.5625404119491577,0.55263,0.168042,0.435722
"In inactive disease the ADA levels ranged between 25 and 98 U/ml, ANF titres varied from 1/40 to 1/640, and LE cells were detected in only 20% of the cases.","In 3 patients investigated during the course of the disease, the ADA levels correlated best with clinical improvement.","the significance of the disease was weakness, weakness, fatigue, anemia, anemia, anemia, anemia, anemia, anemia, anemia, and anemia, and in the majority of cases the prevalence was low.",0.14285714285204085,0.0727392967426849,5.881953893881621e-07,1.689103297568578e-09,0.0893912357160946,0.18100890207715134,0,0.7382562160491943,0.813269,0.580616,0.675864
Pituitary cyclic AMP levels did not increase following saline injection.,"Epinephrine-injected animals displayed markedly elevated plasma levels of ACTH, beta-endorphin and beta-LPH at 15, 30 and 60 min as compared to control or saline-injected rats.",the results of the the results of the the results of the the v. v. v. v. v. v. v. v. v. v. v. v. v..,0.038461538460059216,1.2403473458434254e-09,4.002135611564223e-12,2.297665966272672e-13,0.0054237288135593215,0.03935483870967742,0,0.1765381395816803,0.404517,0.197003,0.491817
The arterial hyperammonemia induced by shock did not result from muscle or renal ammonia production but is related to impaired hepatic uptake of portal ammonia.,These results indicate that in the rat the blood pressure stability is a necessary precondition in any experiment on ammonia metabolism.,the magnitude of the imf depends on the location of the phases of the menstrual cycle in the vicinity of the end of the period of the menstrual cycle ( e. g. e. g. ).,0.11428571428244902,0.05797710356356404,4.670173659329175e-07,1.3357103091691184e-09,0.04785369608988662,0.11220110361741262,0,0.6834390759468079,0.803719,0.150109,0.571847
Equilibrium radionuclide angiocardiography to select inotropic therapy in patients with left ventricular aneurysm.,Fourteen patients with postinfarctual ventricular aneurysm underwent equilibrium radionuclide angiocardiography at rest (ERNA) before and after oral digoxin administration in order to evaluate the effects of increasing myocardial contractility upon both ventricular aneurysm mechanical behaviour and global ventricular function.,the results of the results of the results of the the results of the results of the results of the results of the results of the results of the results of the results of the results of the results.,0.05128205127942146,1.1616917255355726e-09,3.3163474333632668e-12,1.7841008156721926e-13,0.026702030796279072,0.05128205128205129,0,0.6695988178253174,0.629773,0.296562,0.549937
The effect of thalidomide on the metabolism of arachidonic acid by purified washed human platelets and polymorphonuclear leukocytes was examined.,The drug was found to be without effect under the conditions used.,"the logarithm of the variance of the variance was divided by the logarithm of the variance, in the vicinity of the peak, the logarithm of the variance of the variance, in the vicinity of the peak.",0.05555555555401238,1.259881576661928e-09,3.600754492041302e-12,1.939396682572253e-13,0.0487062404870624,0.09159159159159158,0,0.6748802065849304,0.757605,0.233942,0.615325
The existence of two lipid fractions in feces with different biochemical information content.,"Isolation, characterization and information content of these fractions [proceedings].","the results of the the results of the the results of the the results of the results of the results of the results of the results of the smoking habits, and the propensity to quit smoking were compared.",0.05263157894598341,1.1926756082899304e-09,3.406021549710842e-12,1.8330256088670778e-13,0.04377564979480164,0.04788069073783359,0,0.6782917380332947,0.743123,0.206432,0.588771
The placement of one of these introns is conserved with respect to the chicken glyceraldehyde-3-phosphate dehydrogenase gene.,Within the 5' flanking sequence homology to actin and the homology 2 block of the major myosin gene (unc-54) is noted.,the results of the the results of the the results of the results of the monoclinic monoclinic lattices and of the monoclinic monoclinic and the monoclinic lattices are tabulated in the order of 10.,0.14705882352508653,0.09440686400335142,6.530589537858368e-07,1.7313061339444436e-09,0.06002760700482314,0.1519302615193026,0,0.7483707666397095,0.737293,0.255554,0.625915
The virus was serologically distinct from adenoviruses 1 to 34 in reciprocal serum neutralization tests with antisera to these viruses.,We propose this virus as candidate adenovirus type 35 (holden).,"the topology of the the membranes of the membranes of the crystals of thelinic, of thelinic, of the monoclinicliniclinic, the monocliniclinic and the monoclinic, has been determined.",3.7037037035665295e-17,3.774256780339511e-17,3.848052244066258e-17,3.925345689595162e-17,0.013008130081300815,0,0,0.5599847435951233,0.627758,0.170077,0.550635
(1985) Biochem.,"133, 532-538) and have been further characterized in the adrenal cortex and other target tissues.",the the magnitude of the the magnitude of the the magnitude of the the s. s. s. s. s. s. s. s. s. s. s. s. s.,0.037037037035665334,1.1935247900206674e-09,3.848052244066257e-12,2.2073840969171684e-13,0.019925280199252805,0.050205761316872426,0,0.5157613754272461,0.531692,0.192847,0.494818
Typical mu- and L chains constituted only a proportion of the anigen-binding peptides recognized by the anti-mu reagents.,Induction of IgM antibody synthesis was dependent on the presence of antigen and was correlated with the generation of HcPFC.,the results of the presence of the presence of the presence of the absence of the specific antigen were obtained in the presence of the presence of the presence of the absence of the absence of the specific antigen.,0.17948717948257728,0.09719410299359298,0.0634394441835043,9.176855679390852e-06,0.10441882432141593,0.2519174041297935,0,0.8064777851104736,0.893288,0.574536,0.75511
"The dithionite reduced form of cytochrome b560 in isolated QPs has a symmetrical alpha-absorption peak, which upon reconstitution with succinate dehydrogenase becomes slightly broadened and shows a shoulder at around 553 nm, identical to that of cytochrome b560 in succinate-ubiquinone reductase.","Upon addition of succinate dehydrogenase to QPs, about 50% of the reduced form of cytochrome b560 in the QPs becomes insensitive to carbon monoxide treatment.",the dependence of the shape of the spectral changes on the concentration of the coenzymes is determined by the dependence of the shape of the spectral changes on the concentration of the coenzymes.,0.1515151515105602,0.06881023531827986,5.34541544401554e-07,1.50212399765501e-09,0.06326148989139002,0.17681159420289855,0,0.738381028175354,0.802453,0.210913,0.636248
Human lymphocytes were significantly cytotoxic against the transformed cell line when compared to a normal human control cell line.,Patients with prostatic carcinoma demonstrated greater target cell reduction than those with benign prostatic hyperplasia.,the results of the results of the the results of the the results of the results of the results of the results of the results of the results of the results of the results of the results are discussed.,2.5641025640368184e-17,2.597621667263174e-17,2.632186702273938e-17,2.6678529803596046e-17,0.009111617312072894,0,0,0.6395483613014221,0.500688,0.162372,0.430419
"Structure, organization, and transcription of Drosophila U6 small nuclear RNA genes.","U6 RNA is an abundant, capped small nuclear RNA (snRNA) associated with hnRNP particles (Reddy, R., and Busch, H. (1983) Prog.",the results of the the results of the the results of the results of the monoclinic lattices are obtained in the vicinity of the monoclinic lattices and are obtained in the region of the monoclinic lattices.,0.027777777777006206,8.908708063496486e-10,2.857920734272792e-12,1.630831718129954e-13,0.01230769230769231,0.03683574879227053,0,0.625031590461731,0.62333,0.200713,0.476416
The average norepinephrine (NE) dose necessary to produce spontaneous contractions in muscles stimulated at rates of 10/min was higher at high PCO2.,"Whereas 2 100 +/- 295 X 10(-8) mol/litre of NE was necessary during acidosis, only 824 +/- 295 X 10(-8) mol/litre was necessary to produce spontaneous contractions in alkalosis.",the results of the results and of the results of the results of the results of the results of the results of the results of the results of the results of the results of the results of the results.,0.02564102564036821,8.214400967955679e-10,2.632186702273937e-12,1.5002439803884427e-13,0.00780107264748903,0.030212976721149084,0,0.6007120609283447,0.552992,0.339443,0.459539
The difference in the Na+-K+ ATPase activities between groups A (15.37 +/- 0.46 mumole Pi/mg/hr) and B (12.55 +/- 0.4 mumole Pi/mg/hr) was highly significant.,CF molecules were frequently seen to be more irregularly and loosely distributed in the sarcolemmal surfaces of group B atrial myocytes.,the results of the study of the logarithm of the logarithm of the number of the podocytes and the results of the study of the logarithm of the logarithm of the size of the podocytes are discussed.,0.08108108107888973,1.5007505629280368e-09,4.007279750452312e-12,2.085775285235154e-13,0.031746031746031744,0.10886377156454492,0,0.7134544849395752,0.721845,0.196704,0.700087
